idx,pact,active,novelty,vina,aff_pred_value,aff_prob_binary
279,5.1612,0,analog,-8.503,-0.416086882352829,0.9025019407272339
280,6.9208,1,analog,-9.396,-1.2663719654083252,0.8453067541122437
281,6.0223,0,analog,-9.135,0.12890242040157318,0.9088265895843506
282,6.8861,1,analog,-8.297,1.2768648862838745,0.404949426651001
283,7.2147,1,analog,-9.124,0.7537627816200256,0.20497894287109375
284,7.6021,1,analog,-9.413,-1.487776756286621,0.8691951632499695
285,6.1129,0,analog,-9.785,-0.36400777101516724,0.7009233236312866
286,6.6968,1,analog,-9.695,-0.13789048790931702,0.855469822883606
287,5.1871,0,analog,-9.728,0.4862184524536133,0.7447059750556946
288,4.1079,0,analog,-9.208,-0.2949342131614685,0.6245403289794922
289,6.58,1,analog,-9.0,-0.8267439603805542,0.8555963039398193
290,4.585,0,analog,-9.477,0.40525734424591064,0.5851595401763916
291,8.1612,1,analog,-10.04,-0.36321598291397095,0.8883272409439087
292,8.2007,1,analog,-9.52,-0.3232537508010864,0.9026528596878052
293,9.3468,1,analog,-9.402,-0.73003089427948,0.9067882299423218
294,9.4815,1,analog,-10.08,-1.2354116439819336,0.9419813752174377
295,8.0458,1,analog,-9.127,-0.6202942728996277,0.8910477757453918
296,5.3768,0,analog,-9.497,0.255721777677536,0.4095843434333801
297,9.2676,1,analog,-7.47,0.4018010199069977,0.9018267393112183
298,7.7959,1,analog,-9.401,0.11245793849229813,0.8201017379760742
299,4.9586,0,analog,-9.025,-0.29331174492836,0.6405627727508545
300,8.699,1,analog,-10.54,1.0342278480529785,0.7975908517837524
301,8.3768,1,analog,-9.894,-0.1302284300327301,0.8824509382247925
302,10.0177,1,analog,-10.06,-1.0767204761505127,0.9018507599830627
303,5.3098,0,analog,-9.116,-0.1851648986339569,0.4077809751033783
304,9.8539,1,analog,-9.515,-0.1412140280008316,0.8499453663825989
305,10.0706,1,analog,-10.05,-2.212185859680176,0.9782581329345703
306,4.4547,0,analog,-8.037,-0.2726644277572632,0.8151755332946777
307,5.4685,0,novel,-10.29,0.5724560022354126,0.5403972268104553
308,9.1805,1,analog,-10.05,0.21109959483146667,0.9006300568580627
309,5.7212,0,analog,-10.34,-0.1656607836484909,0.42685258388519287
310,8.2076,1,analog,-9.946,-0.1538422852754593,0.9384620189666748
311,7.032,1,analog,-9.318,2.472214937210083,0.3817795217037201
312,6.0269,0,analog,-10.1,-0.5450088977813721,0.8739263415336609
313,5.2426,0,novel,-8.896,-1.276458501815796,0.7973504066467285
314,4.8239,0,novel,-9.53,0.9521159529685974,0.6414883136749268
315,8.6778,1,analog,,-1.079343557357788,0.9789108037948608
316,8.8239,1,analog,-7.905,0.8588932752609253,0.5638405084609985
317,7.2757,1,analog,-8.608,0.47593188285827637,0.8543113470077515
318,7.4949,1,analog,-8.422,0.11826112866401672,0.5087782740592957
319,8.8239,1,analog,-9.04,-1.0772426128387451,0.8760782480239868
320,9.6198,1,analog,-8.406,0.9399007558822632,0.8122333288192749
321,5.0969,0,novel,-9.722,-0.3376445770263672,0.5096085071563721
322,7.0605,1,analog,-9.51,-0.05789458751678467,0.4318046569824219
323,4.7959,0,novel,-8.848,0.680821418762207,0.5660092830657959
324,8.585,1,analog,-8.303,1.0961835384368896,0.7374811172485352
325,7.8861,1,analog,-8.497,0.07642155885696411,0.554328203201294
326,8.8539,1,analog,,-1.558254361152649,0.9795534014701843
327,6.585,1,analog,-8.636,0.9717659950256348,0.9010521769523621
328,6.8539,1,analog,-10.23,0.6575995683670044,0.6935268640518188
329,6.6778,1,novel,-10.5,-0.6360682249069214,0.9208221435546875
330,5.041,0,analog,-9.15,-0.3295001685619354,0.35382986068725586
331,8.6021,1,analog,-7.423,-0.18379884958267212,0.9328345060348511
332,6.8697,1,analog,-5.542,-0.5525056719779968,0.46904683113098145
333,6.5528,1,analog,-4.833,-0.8235340714454651,0.4682890772819519
334,6.5229,1,analog,-10.44,0.948188066482544,0.5816110372543335
335,5.7696,0,novel,-7.501,0.7843049168586731,0.5332504510879517
336,10.0809,1,analog,,,
337,4.0555,0,novel,-9.219,-1.4583463668823242,0.8157691359519958
338,4.6198,0,novel,-11.93,-1.2730731964111328,0.7140705585479736
339,9.2757,1,analog,-9.648,-1.5642974376678467,0.9792168736457825
340,8.4559,1,analog,-9.779,-1.0072617530822754,0.9807806015014648
341,7.8239,1,analog,-9.953,-2.275658369064331,0.9921684265136719
342,4.9508,0,novel,-9.438,0.49526625871658325,0.6621928215026855
343,5.8539,0,analog,-10.14,0.11910685151815414,0.9614659547805786
344,6.9208,1,analog,-9.015,-1.2866566181182861,0.9664469957351685
345,9.8539,1,analog,-9.155,-2.996211528778076,0.9924465417861938
346,6.9586,1,analog,-8.924,-0.03543342649936676,0.9659910798072815
347,6.3979,0,analog,-9.009,-0.8371225595474243,0.9194983243942261
348,8.8539,1,analog,-8.758,-1.8737425804138184,0.9742278456687927
349,5.0969,0,analog,-10.99,0.013309331610798836,0.7288330793380737
350,5.9586,0,analog,-10.23,-1.378773808479309,0.8765422105789185
351,6.0969,0,analog,-10.11,-1.7401955127716064,0.9398196935653687
352,6.699,1,analog,-9.835,-1.5463228225708008,0.9061384797096252
353,6.0458,0,analog,-10.64,-1.1772408485412598,0.8189752101898193
