smiles,target_gene,generation_method,qed,sa_score,mw,predicted_ic50_nM,binding_energy_kcal,best_similarity,mean_similarity,confidence,n_references
CCOc1c(OC)cc2cc(C(=O)N3CC(C)C4C3=CC(=O)c3[nH]c(C(=O)OC)cc34)[nH]c2c1OC,MAP2K1,r_group,0.503,4.5,493.5,2.55,-11.13,0.555,0.301,0.833,10
COc1cc2cc(C(=O)N3CC(C)C4C3=CC(=O)c3[nH]c(C(=O)OC5CC5)cc34)[nH]c2c(OC)c1OC,MAP2K1,r_group,0.489,4.6,505.5,2.59,-11.12,0.546,0.288,0.819,10
CNC(=O)c1cc2c([nH]1)C(=O)C=C1C2C(C)CN1C(=O)c1cc2cc(OC)c(OC)c(OC)c2[nH]1,MAP2K1,bioisostere,0.518,4.4,478.5,2.61,-11.12,0.561,0.299,0.841,10
C.COc1cc2cc(C(=O)N3CC(C)C4C3=CC(=O)c3[nH]c(S(N)(=O)=O)cc34)[nH]c2c(OC)c1OC,MAP2K1,bioisostere,0.47,4.5,516.6,2.61,-11.12,0.5,0.29,0.75,10
COC(=O)c1cc2c([nH]1)C(=O)C=C1C2C(C)CN1C(=O)c1cc2cc(OC)c(OC)c(OC3CC3)c2[nH]1,MAP2K1,r_group,0.489,4.6,505.5,2.63,-11.11,0.551,0.297,0.827,10
CCC1CN(C(=O)c2cc3cc(OC)c(OC)c(OC)c3[nH]2)C2=CC(=O)c3[nH]c(C(=O)OC)cc3C21,MAP2K1,r_group,0.503,4.5,493.5,2.65,-11.11,0.516,0.303,0.774,10
C.COc1cc2cc(C(=O)N3CC(C)C4C3=CC(=O)c3[nH]c(C(N)=O)cc34)[nH]c2c(OC)c1OC,MAP2K1,bioisostere,0.512,4.4,480.5,2.68,-11.1,0.538,0.298,0.806,10
CNc1c(OC)cc2cc(C(=O)N3CC(C)C4C3=CC(=O)c3[nH]c(C(=O)OC)cc34)[nH]c2c1OC,MAP2K1,bioisostere,0.481,4.4,478.5,2.71,-11.1,0.565,0.305,0.848,10
COc1cc2cc(C(=O)N3CC(C)C4C3=CC(=O)c3[nH]c(C(=O)SC)cc34)[nH]c2c(OC)c1OC,MAP2K1,bioisostere,0.55,4.4,495.6,2.72,-11.09,0.522,0.298,0.784,10
COC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)c1cc4cc(OC)c(OC)c(OC(C)C)c4[nH]1)C3=CC2=O,MAP2K1,r_group,0.474,4.8,519.6,2.73,-11.09,0.604,0.367,0.906,10
COC(=O)c1c(C(C)C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)c1cc4cc(OC)c(OC)c(OC)c4[nH]1)C3=CC2=O,MAP2K1,r_group,0.473,4.8,519.6,2.74,-11.09,0.534,0.356,0.801,10
COC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)c1cc4cc(OC5CC5)c(OC)c(OC)c4[nH]1)C3=CC2=O,MAP2K1,r_group,0.479,4.8,517.5,2.75,-11.09,0.534,0.358,0.8,10
CCOC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)c1cc4cc(OC)c(OC)c(OC)c4[nH]1)C3=CC2=O,MAP2K1,r_group,0.492,4.6,505.5,2.76,-11.08,0.523,0.345,0.785,10
COC(=O)c1cc2c([nH]1)C(=O)C=C1C2C(C)CN1C(=O)c1cc2cc(OC)c(OC(C)C)c(OC)c2[nH]1,MAP2K1,r_group,0.483,4.6,507.5,2.8,-11.08,0.535,0.287,0.802,10
