gene,patient
NUP214,1.4
PLCB2,1.4
RALGAPA1,1.4
ZNF687,1.4
ADAM18,1.4
OSBPL5,1.4
SLITRK5,1.4
PRKCQ,1.4
RFC1,1.4
ADAD2,1.4
PLEKHA5,1.4
OSBPL10,1.4
ROR2,1.4
ASAP1,1.4
SPATA13,1.4
PCSK5,1.4
PDGFD,1.4
NAV1,1.4
NEK8,1.4
MYORG,1.4
ZYG11A,1.4
A2M,1.4
SLC13A3,1.4
NCKAP5L,1.4
PTK7,1.4
PPP1R26,1.4
RPGR,1.4
PTPRB,1.4
PPP1R13B,1.4
MYO9B,1.4
NES,1.4
PSMD11,1.4
BAZ2A,1.4
PDE8B,1.4
ZNF276,1.4
NELFB,1.4
NELL1,1.4
PER2,1.4
SORBS2,1.4
SP8,1.4
PEG3,1.4
PPIG,1.4
RPRD2,1.4
PTK2B,1.4
ZNF257,1.4
ABCC11,1.4
SON,1.4
PPFIBP2,1.4
RUNX1T1,1.4
ABCC9,1.4
SOX6,1.4
MYT1L,1.4
ABCC6,1.4
PDE4C,1.4
SETD1A,1.4
ABCD2,1.4
MYO1H,1.4
AFDN,1.4
BAIAP2L2,1.4
ZXDC,1.4
PSAPL1,1.4
PPEF2,1.4
PCNX1,1.4
MYO5B,1.4
PLD4,1.2
PLEKHA6,1.2
KCNU1,1.2
KEAP1,1.2
FOXM1,1.2
PTCHD3,1.2
EVPL,1.2
KDR,1.2
PHACTR4,1.2
ZNF628,1.2
FIP1L1,1.2
KDM3B,1.2
FLRT2,1.2
TBC1D4,1.2
KDM6B,1.2
TBC1D8,1.2
HIVEP1,1.2
KDM4D,1.2
KDM4B,1.2
OR8I2,1.2
ETV5,1.2
ZNF804B,1.2
SLC17A2,1.2
IDH2,1.2
EXOC3,1.2
CDC42BPG,1.2
AFF1,1.2
SEC14L1,1.2
VEPH1,1.2
SLC14A2,1.2
